dt	peer	gkgrecordid	sqldate	ActionGeo_CountryCode	AvgTone
2018-04-15 14:00:47	28	20180415120000-7	20180415	UK	0
2018-04-15 14:00:47	5	20180415120000-31	20180415	EI	-4.66666666666667
2018-04-15 14:00:47	5	20180415120000-54	20180415	EI	0
2018-04-15 14:00:47	23	20180415120000-56	20180415	RO	-2.5830258302583
2018-04-15 14:00:47	28	20180415120000-59	20180415	UK	-0.25412960609911
2018-04-15 14:00:47	28	20180415120000-61	20180415	UK	0.434782608695652
2018-04-15 14:00:47	28	20180415120000-64	20180415	UK	1.36986301369863
2018-04-15 14:00:47	9	20180415120000-80	20180415	FR	2.02492211838006
2018-04-15 14:00:47	5	20180415120000-84	20180415	EI	-3.35570469798658
2018-04-15 14:00:47	28	20180415120000-96	20180415	UK	1.26050420168067
2018-04-15 14:00:47	28	20180415120000-99	20180415	UK	-0.884955752212389
2018-04-15 14:00:47	21	20180415120000-108	20180415	PL	6.68896321070234
2018-04-15 14:00:47	28	20180415120000-109	20180415	UK	-3.2051282051282
2018-04-15 14:00:47	9	20180415120000-111	20180415	FR	-3.29218106995885
2018-04-15 14:00:47	28	20180415120000-114	20180415	UK	2.63912794033276
2018-04-15 14:00:47	25	20180415120000-117	20180415	SP	-8.125
2018-04-15 14:00:47	5	20180415120000-121	20180415	EI	0.987654320987654
2018-04-15 14:00:47	28	20180415120000-122	20180415	UK	0.434782608695652
2018-04-15 14:00:47	28	20180415120000-133	20180415	UK	1.2987012987013
2018-04-15 14:00:47	28	20180415120000-137	20180415	UK	3.20924261874198
2018-04-15 14:00:47	28	20180415120000-144	20180415	UK	1.34983127109111
2018-04-15 14:00:47	28	20180415120000-156	20180415	UK	1.20481927710843
2018-04-15 14:00:47	25	20180415120000-160	20180415	SP	-5.47945205479452
2018-04-15 14:00:47	28	20180415120000-168	20180415	UK	2.9673590504451
2018-04-15 14:00:47	11	20180415120000-175	20180415	GR	5.33498759305211
2018-04-15 14:00:47	28	20180415120000-181	20180415	UK	0.434782608695652
2018-04-15 14:00:47	28	20180415120000-188	20180415	UK	-6.79012345679012
2018-04-15 14:00:47	28	20180415120000-212	20180415	UK	0.434782608695652
