dt	peer	gkgrecordid	sqldate	ActionGeo_CountryCode	AvgTone
2018-04-15 12:20:42	28	20180415101500-11	20180415	UK	1.36411332633788
2018-04-15 12:20:42	28	20180415101500-13	20180415	UK	0.434782608695652
2018-04-15 12:20:42	28	20180415101500-17	20180415	UK	1.48011100832562
2018-04-15 12:20:42	5	20180415101500-26	20180415	EI	0.309597523219814
2018-04-15 12:20:42	22	20180415101500-33	20180415	PO	1.32013201320132
2018-04-15 12:20:42	27	20180415101500-35	20180415	SZ	-1.35970333745365
2018-04-15 12:20:42	11	20180415101500-49	20180415	GR	-4.95049504950495
2018-04-15 12:20:42	28	20180415101500-57	20180415	UK	0.933706816059757
2018-04-15 12:20:42	25	20180415101500-72	20180415	SP	-4.34782608695652
2018-04-15 12:20:42	28	20180415101500-97	20180415	UK	2.96296296296296
2018-04-15 12:20:42	28	20180415101500-110	20180415	UK	1.42450142450142
2018-04-15 12:20:42	28	20180415101500-111	20180415	UK	-0.884955752212389
2018-04-15 12:20:42	9	20180415101500-121	20180415	FR	8.08080808080808
2018-04-15 12:20:42	28	20180415101500-122	20180415	UK	-3.2051282051282
2018-04-15 12:20:42	28	20180415101500-145	20180415	UK	0.434782608695652
2018-04-15 12:20:42	28	20180415101500-149	20180415	UK	0.434782608695652
2018-04-15 12:20:42	24	20180415101500-169	20180415	SI	-3.53982300884956
2018-04-15 12:20:42	5	20180415101500-181	20180415	EI	1.53846153846154
2018-04-15 12:20:42	28	20180415101500-186	20180415	UK	1.28755364806867
2018-04-15 12:20:42	9	20180415101500-192	20180415	FR	-10.4575163398693
2018-04-15 12:20:42	26	20180415101500-197	20180415	SW	0.393700787401575
2018-04-15 12:20:42	28	20180415101500-202	20180415	UK	0.43630017452007
2018-04-15 12:20:42	28	20180415101500-212	20180415	UK	3.11284046692607
2018-04-15 12:20:42	28	20180415101500-213	20180415	UK	0.129533678756477
2018-04-15 12:20:42	28	20180415101500-231	20180415	UK	-3.2051282051282
2018-04-15 12:20:42	9	20180415101500-254	20180415	FR	-2.68948655256724
2018-04-15 12:20:42	19	20180415101500-283	20180415	MT	0
2018-04-15 12:20:42	28	20180415101500-288	20180415	UK	-2.23880597014925
2018-04-15 12:20:42	28	20180415101500-289	20180415	UK	0
2018-04-15 12:20:42	28	20180415101500-290	20180415	UK	-0.884955752212389
2018-04-15 12:20:42	28	20180415101500-298	20180415	UK	-6.3973063973064
2018-04-15 12:20:42	14	20180415101500-301	20180415	IT	-3.33778371161549
2018-04-15 12:20:42	14	20180415101500-314	20180415	IT	-1.98019801980198
2018-04-15 12:20:42	24	20180415101500-317	20180415	SI	-3.53982300884956
2018-04-15 12:20:42	28	20180415101500-326	20180415	UK	0.161550888529887
2018-04-15 12:20:42	28	20180415101500-338	20180415	UK	1.2216404886562
2018-04-15 12:20:42	28	20180415101500-342	20180415	UK	-0.884955752212389
2018-04-15 12:20:42	9	20180415101500-356	20180415	FR	-7.2289156626506
2018-04-15 12:20:42	23	20180415101500-372	20180415	RO	-2.54237288135593
2018-04-15 12:20:42	10	20180415101500-379	20180415	GM	-0.383877159309021
2018-04-15 12:20:42	28	20180415101500-386	20180415	UK	0.53475935828877
2018-04-15 12:20:42	28	20180415101500-396	20180415	UK	-3.2051282051282
2018-04-15 12:20:42	28	20180415101500-420	20180415	UK	-2.89752650176678
2018-04-15 12:20:42	11	20180415101500-426	20180415	GR	5.45774647887324
2018-04-15 12:20:42	25	20180415101500-441	20180415	SP	-4.34782608695652
2018-04-15 12:20:42	28	20180415101500-442	20180415	UK	-0.884955752212389
2018-04-15 12:20:42	28	20180415101500-448	20180415	UK	-3.2051282051282
2018-04-15 12:20:42	28	20180415101500-453	20180415	UK	-3.2051282051282
2018-04-15 12:20:42	27	20180415101500-458	20180415	SZ	-2.8125
2018-04-15 12:20:42	9	20180415101500-463	20180415	FR	4.11392405063291
2018-04-15 12:20:42	28	20180415101500-481	20180415	UK	3.48101265822785
2018-04-15 12:20:42	28	20180415101500-483	20180415	UK	-6.3973063973064
