dt	peer	gkgrecordid	sqldate	ActionGeo_CountryCode	AvgTone
2018-04-15 18:00:57	28	20180415160000-12	20180415	UK	2.51046025104602
2018-04-15 18:00:57	28	20180415160000-28	20180415	UK	-1.85185185185185
2018-04-15 18:00:57	27	20180415160000-32	20180415	SZ	1.52671755725191
2018-04-15 18:00:57	28	20180415160000-35	20180415	UK	1.44927536231884
2018-04-15 18:00:57	14	20180415160000-41	20180415	IT	1.32450331125828
2018-04-15 18:00:57	28	20180415160000-45	20180415	UK	-7.79220779220779
2018-04-15 18:00:57	11	20180415160000-57	20180415	GR	8.59188544152745
2018-04-15 18:00:57	28	20180415160000-75	20180415	UK	4.58015267175572
2018-04-15 18:00:57	5	20180415160000-78	20180415	EI	1.40845070422535
2018-04-15 18:00:57	28	20180415160000-110	20180415	UK	3.66088631984586
2018-04-15 18:00:57	28	20180415160000-112	20180415	UK	0.346020761245675
2018-04-15 18:00:57	28	20180415160000-154	20180415	UK	3.01507537688442
2018-04-15 18:00:57	21	20180415160000-167	20180415	PL	3.37552742616034
2018-04-15 18:00:57	9	20180415160000-176	20180415	FR	-0.75187969924812
2018-04-15 18:00:57	1	20180415160000-195	20180415	AU	-1.17786902960882
2018-04-15 18:00:57	28	20180415160000-203	20180415	UK	-3.63288718929254
2018-04-15 18:00:57	2	20180415160000-208	20180415	BE	2.99145299145299
2018-04-15 18:00:57	28	20180415160000-209	20180415	UK	-1.73010380622837
2018-04-15 18:00:57	14	20180415160000-210	20180415	IT	1.35135135135135
2018-04-15 18:00:57	28	20180415160000-228	20180415	UK	1.62523900573614
2018-04-15 18:00:57	28	20180415160000-266	20180415	UK	-5.10708401976936
2018-04-15 18:00:57	26	20180415160000-281	20180415	SW	-3.62694300518135
2018-04-15 18:00:57	28	20180415160000-292	20180415	UK	3.24324324324324
2018-04-15 18:00:57	9	20180415160000-294	20180415	FR	1.90114068441065
2018-04-15 18:00:57	21	20180415160000-295	20180415	PL	3.47222222222222
2018-04-15 18:00:57	28	20180415160000-299	20180415	UK	3.91676866585067
2018-04-15 18:00:57	27	20180415160000-310	20180415	SZ	3.30396475770925
2018-04-15 18:00:57	28	20180415160000-313	20180415	UK	-3.78006872852234
2018-04-15 18:00:57	9	20180415160000-316	20180415	FR	3.51123595505618
2018-04-15 18:00:57	28	20180415160000-318	20180415	UK	1.10497237569061
2018-04-15 18:00:57	28	20180415160000-324	20180415	UK	2.01030927835052
2018-04-15 18:00:57	28	20180415160000-336	20180415	UK	-2.7906976744186
2018-04-15 18:00:57	28	20180415160000-374	20180415	UK	0.810810810810811
2018-04-15 18:00:57	28	20180415160000-375	20180415	UK	-3.48027842227378
2018-04-15 18:00:57	28	20180415160000-387	20180415	UK	2
2018-04-15 18:00:57	28	20180415160000-388	20180415	UK	0.543746910528917
2018-04-15 18:00:57	20	20180415160000-391	20180415	NL	5.30503978779841
2018-04-15 18:00:57	28	20180415160000-413	20180415	UK	2.35888795282224
2018-04-15 18:00:57	1	20180415160000-422	20180415	AU	4.71142520612485
2018-04-15 18:00:57	28	20180415160000-445	20180415	UK	-2.08333333333333
2018-04-15 18:00:57	28	20180415160000-452	20180415	UK	5.62913907284768
2018-04-15 18:00:58	14	20180415160000-470	20180415	IT	2.07351555136664
2018-04-15 18:00:58	28	20180415160000-476	20180415	UK	-2.63157894736842
2018-04-15 18:00:58	28	20180415160000-486	20180415	UK	1.66666666666667
2018-04-15 18:00:58	28	20180415160000-495	20180415	UK	-1.07342206955775
2018-04-15 18:00:58	28	20180415160000-517	20180415	UK	0.346020761245675
2018-04-15 18:00:58	20	20180415160000-537	20180415	NL	1.85873605947955
2018-04-15 18:00:58	9	20180415160000-542	20180415	FR	-2.92682926829268
2018-04-15 18:00:58	22	20180415160000-548	20180415	PO	7.42857142857143
2018-04-15 18:00:58	1	20180415160000-556	20180415	AU	-1.01759391345697
2018-04-15 18:00:58	28	20180415160000-560	20180415	UK	3.46153846153846
2018-04-15 18:00:58	28	20180415160000-574	20180415	UK	-13.4782608695652
2018-04-15 18:00:58	28	20180415160000-575	20180415	UK	5.51470588235294
2018-04-15 18:00:58	28	20180415160000-580	20180415	UK	-0.273972602739726
2018-04-15 18:00:58	28	20180415160000-596	20180415	UK	2.66666666666667
2018-04-15 18:00:58	10	20180415160000-603	20180415	GM	-0.985221674876847
2018-04-15 18:00:58	25	20180415160000-614	20180415	SP	-6.12244897959184
2018-04-15 18:00:58	28	20180415160000-615	20180415	UK	2.67857142857143
2018-04-15 18:00:58	28	20180415160000-624	20180415	UK	2
2018-04-15 18:00:58	14	20180415160000-627	20180415	IT	1.440329218107
2018-04-15 18:00:58	25	20180415160000-637	20180415	SP	1.04712041884817
2018-04-15 18:00:58	28	20180415160000-641	20180415	UK	0.641025641025641
2018-04-15 18:00:58	28	20180415160000-642	20180415	UK	0.689655172413793
2018-04-15 18:00:58	28	20180415160000-644	20180415	UK	-7.1656050955414
2018-04-15 18:00:58	28	20180415160000-645	20180415	UK	-8.75912408759124
2018-04-15 18:00:58	28	20180415160000-650	20180415	UK	0.346020761245675
2018-04-15 18:00:58	28	20180415160000-654	20180415	UK	-1.46137787056367
2018-04-15 18:00:58	28	20180415160000-655	20180415	UK	2
2018-04-15 18:00:58	28	20180415160000-666	20180415	UK	-0.657894736842105
2018-04-15 18:00:58	14	20180415160000-669	20180415	IT	0
2018-04-15 18:00:58	14	20180415160000-672	20180415	IT	1.27388535031847
2018-04-15 18:00:58	9	20180415160000-681	20180415	FR	1.36054421768708
2018-04-15 18:00:58	5	20180415160000-687	20180415	EI	1.02040816326531
2018-04-15 18:00:58	28	20180415160000-692	20180415	UK	-2.22222222222222
2018-04-15 18:00:58	28	20180415160000-695	20180415	UK	0.961538461538462
2018-04-15 18:00:58	28	20180415160000-720	20180415	UK	2.05761316872428
2018-04-15 18:00:58	20	20180415160000-724	20180415	NL	-2.42914979757085
2018-04-15 18:00:58	28	20180415160000-727	20180415	UK	-0.169204737732657
2018-04-15 18:00:58	9	20180415160000-738	20180415	FR	-1.34874759152216
2018-04-15 18:00:58	28	20180415160000-744	20180415	UK	6.04651162790698
2018-04-15 18:00:58	28	20180415160000-751	20180415	UK	0.56497175141243
