dt	peer	gkgrecordid	sqldate	ActionGeo_CountryCode	AvgTone
2018-04-15 14:15:53	5	20180415121500-0	20180415	EI	-0.526870389884088
2018-04-15 14:15:53	28	20180415121500-11	20180415	UK	2.86532951289398
2018-04-15 14:15:53	25	20180415121500-13	20180415	SP	-4.48717948717949
2018-04-15 14:15:53	28	20180415121500-29	20180415	UK	0.69617105917454
2018-04-15 14:15:53	9	20180415121500-38	20180415	FR	0.429414922168545
2018-04-15 14:15:53	28	20180415121500-51	20180415	UK	3.77358490566038
2018-04-15 14:15:53	28	20180415121500-52	20180415	UK	2.18818380743982
2018-04-15 14:15:53	28	20180415121500-55	20180415	UK	-3.59375
2018-04-15 14:15:53	28	20180415121500-65	20180415	UK	-3.81944444444444
2018-04-15 14:15:53	28	20180415121500-66	20180415	UK	-2.20458553791887
2018-04-15 14:15:53	28	20180415121500-78	20180415	UK	0.316122233930453
2018-04-15 14:15:53	28	20180415121500-81	20180415	UK	0.434782608695652
2018-04-15 14:15:53	24	20180415121500-107	20180415	SI	2.62295081967213
2018-04-15 14:15:53	28	20180415121500-109	20180415	UK	0.70754716981132
2018-04-15 14:15:53	25	20180415121500-113	20180415	SP	-6.25
2018-04-15 14:15:53	28	20180415121500-122	20180415	UK	2.96296296296296
2018-04-15 14:15:53	28	20180415121500-126	20180415	UK	-4.52830188679245
2018-04-15 14:15:53	28	20180415121500-144	20180415	UK	2.18818380743982
2018-04-15 14:15:53	28	20180415121500-147	20180415	UK	0.487804878048781
2018-04-15 14:15:53	27	20180415121500-161	20180415	SZ	0.394866732477788
2018-04-15 14:15:53	28	20180415121500-182	20180415	UK	-3.01507537688442
2018-04-15 14:15:53	21	20180415121500-186	20180415	PL	-3.8860103626943
2018-04-15 14:15:53	28	20180415121500-189	20180415	UK	-4.79153702551338
2018-04-15 14:15:53	25	20180415121500-193	20180415	SP	-5.47945205479452
2018-04-15 14:15:53	9	20180415121500-245	20180415	FR	1.51202749140893
2018-04-15 14:15:53	28	20180415121500-256	20180415	UK	-4.76730987514188
2018-04-15 14:15:53	28	20180415121500-258	20180415	UK	-0.184842883548983
2018-04-15 14:15:53	28	20180415121500-286	20180415	UK	0.434782608695652
2018-04-15 14:15:53	14	20180415121500-288	20180415	IT	2.38095238095238
2018-04-15 14:15:53	21	20180415121500-292	20180415	PL	-3.77833753148615
2018-04-15 14:15:53	21	20180415121500-293	20180415	PL	-3.8860103626943
2018-04-15 14:15:53	28	20180415121500-306	20180415	UK	-0.126742712294043
2018-04-15 14:15:53	28	20180415121500-307	20180415	UK	2.5974025974026
2018-04-15 14:15:53	17	20180415121500-327	20180415	LO	-0.324675324675324
2018-04-15 14:15:53	9	20180415121500-357	20180415	FR	-6.35838150289017
2018-04-15 14:15:53	14	20180415121500-385	20180415	IT	2.13447171824973
2018-04-15 14:15:53	11	20180415121500-456	20180415	GR	2.60869565217391
2018-04-15 14:15:53	25	20180415121500-462	20180415	SP	-7.35294117647059
2018-04-15 14:15:53	28	20180415121500-479	20180415	UK	0.112612612612612
2018-04-15 14:15:53	28	20180415121500-481	20180415	UK	0.434782608695652
2018-04-15 14:15:53	9	20180415121500-484	20180415	FR	2.10526315789474
2018-04-15 14:15:53	28	20180415121500-486	20180415	UK	-1.42857142857143
2018-04-15 14:15:53	28	20180415121500-509	20180415	UK	-4.53648915187377
2018-04-15 14:15:53	28	20180415121500-536	20180415	UK	1.36986301369863
