dt	peer	gkgrecordid	sqldate	ActionGeo_CountryCode	AvgTone
2018-04-15 17:45:42	25	20180415154500-12	20180415	SP	1.11111111111111
2018-04-15 17:45:42	9	20180415154500-15	20180415	FR	-1.51209677419355
2018-04-15 17:45:42	21	20180415154500-44	20180415	PL	-3.77833753148615
2018-04-15 17:45:42	5	20180415154500-45	20180415	EI	2.56410256410256
2018-04-15 17:45:42	28	20180415154500-56	20180415	UK	-0.888804841149773
2018-04-15 17:45:42	28	20180415154500-62	20180415	UK	2.69749518304432
2018-04-15 17:45:42	28	20180415154500-67	20180415	UK	-2.46913580246914
2018-04-15 17:45:42	2	20180415154500-79	20180415	BE	2.99145299145299
2018-04-15 17:45:42	28	20180415154500-80	20180415	UK	-5.0251256281407
2018-04-15 17:45:42	28	20180415154500-94	20180415	UK	-2.73972602739726
2018-04-15 17:45:42	28	20180415154500-103	20180415	UK	1.0989010989011
2018-04-15 17:45:42	13	20180415154500-106	20180415	HU	0.274725274725275
2018-04-15 17:45:42	14	20180415154500-143	20180415	IT	0.458015267175572
2018-04-15 17:45:42	28	20180415154500-145	20180415	UK	6.56424581005587
2018-04-15 17:45:42	28	20180415154500-147	20180415	UK	-3.3112582781457
2018-04-15 17:45:42	28	20180415154500-151	20180415	UK	-2.73972602739726
2018-04-15 17:45:42	28	20180415154500-155	20180415	UK	-3.3210332103321
2018-04-15 17:45:42	28	20180415154500-157	20180415	UK	5.68720379146919
2018-04-15 17:45:42	28	20180415154500-158	20180415	UK	-2.5
2018-04-15 17:45:42	6	20180415154500-160	20180415	EN	-3.15361139369278
2018-04-15 17:45:42	9	20180415154500-174	20180415	FR	-1.20898100172711
2018-04-15 17:45:42	6	20180415154500-190	20180415	EN	-1.47679324894515
2018-04-15 17:45:42	28	20180415154500-198	20180415	UK	-2.73972602739726
2018-04-15 17:45:42	9	20180415154500-200	20180415	FR	-4.16666666666667
2018-04-15 17:45:42	28	20180415154500-213	20180415	UK	-2.75423728813559
2018-04-15 17:45:42	27	20180415154500-226	20180415	SZ	2.48344370860927
2018-04-15 17:45:42	14	20180415154500-231	20180415	IT	-0.936768149882904
2018-04-15 17:45:42	28	20180415154500-246	20180415	UK	-3.3210332103321
2018-04-15 17:45:42	28	20180415154500-252	20180415	UK	-1.41509433962264
2018-04-15 17:45:42	9	20180415154500-275	20180415	FR	1.03244837758112
2018-04-15 17:45:42	16	20180415154500-282	20180415	LH	1.12721417069243
2018-04-15 17:45:42	28	20180415154500-289	20180415	UK	2.62529832935561
2018-04-15 17:45:42	14	20180415154500-293	20180415	IT	1.53846153846154
2018-04-15 17:45:42	10	20180415154500-312	20180415	GM	0
2018-04-15 17:45:42	9	20180415154500-319	20180415	FR	-4.80769230769231
2018-04-15 17:45:42	9	20180415154500-339	20180415	FR	0.266666666666667
2018-04-15 17:45:42	20	20180415154500-344	20180415	NL	1.14942528735632
2018-04-15 17:45:42	28	20180415154500-346	20180415	UK	1.06269925611052
2018-04-15 17:45:42	5	20180415154500-355	20180415	EI	-5.26315789473684
2018-04-15 17:45:42	28	20180415154500-359	20180415	UK	-0.4739336492891
2018-04-15 17:45:42	28	20180415154500-363	20180415	UK	-1.90930787589499
2018-04-15 17:45:42	5	20180415154500-369	20180415	EI	1.90641247833622
2018-04-15 17:45:42	14	20180415154500-373	20180415	IT	0
2018-04-15 17:45:42	28	20180415154500-383	20180415	UK	-3.3210332103321
2018-04-15 17:45:42	28	20180415154500-385	20180415	UK	3.72881355932203
2018-04-15 17:45:42	28	20180415154500-388	20180415	UK	0.757575757575757
2018-04-15 17:45:42	28	20180415154500-409	20180415	UK	0.555555555555556
2018-04-15 17:45:42	28	20180415154500-415	20180415	UK	2.37068965517241
2018-04-15 17:45:42	28	20180415154500-428	20180415	UK	-0.581395348837209
2018-04-15 17:45:42	11	20180415154500-448	20180415	GR	-3.79746835443038
2018-04-15 17:45:42	28	20180415154500-454	20180415	UK	0
2018-04-15 17:45:42	28	20180415154500-456	20180415	UK	-1.66919575113809
2018-04-15 17:45:42	14	20180415154500-462	20180415	IT	-2.05479452054795
2018-04-15 17:45:42	25	20180415154500-471	20180415	SP	-4.27291523087526
2018-04-15 17:45:42	28	20180415154500-478	20180415	UK	-1.85873605947955
2018-04-15 17:45:42	14	20180415154500-484	20180415	IT	1.28205128205128
2018-04-15 17:45:42	10	20180415154500-485	20180415	GM	1.4827018121911
2018-04-15 17:45:42	25	20180415154500-491	20180415	SP	1.86335403726708
2018-04-15 17:45:42	1	20180415154500-495	20180415	AU	2.5
2018-04-15 17:45:42	28	20180415154500-498	20180415	UK	2.41379310344828
2018-04-15 17:45:42	28	20180415154500-525	20180415	UK	-4.41400304414003
2018-04-15 17:45:42	28	20180415154500-527	20180415	UK	-2.28571428571429
2018-04-15 17:45:42	5	20180415154500-537	20180415	EI	1.23456790123457
2018-04-15 17:45:42	5	20180415154500-565	20180415	EI	-0.657894736842105
2018-04-15 17:45:42	28	20180415154500-566	20180415	UK	6.79012345679012
2018-04-15 17:45:42	5	20180415154500-575	20180415	EI	-0.636942675159236
2018-04-15 17:45:42	28	20180415154500-584	20180415	UK	-9.69267139479905
2018-04-15 17:45:42	20	20180415154500-627	20180415	NL	1.09689213893967
2018-04-15 17:45:42	28	20180415154500-644	20180415	UK	-2.73972602739726
2018-04-15 17:45:42	28	20180415154500-650	20180415	UK	-4.93273542600897
2018-04-15 17:45:42	28	20180415154500-654	20180415	UK	-2.73972602739726
2018-04-15 17:45:42	28	20180415154500-673	20180415	UK	-2.78330019880716
2018-04-15 17:45:42	28	20180415154500-674	20180415	UK	-2.73972602739726
2018-04-15 17:45:42	28	20180415154500-695	20180415	UK	-3.3210332103321
