dt	peer	gkgrecordid	sqldate	ActionGeo_CountryCode	AvgTone
2018-04-15 14:31:00	25	20180415123000-7	20180415	SP	-5.47945205479452
2018-04-15 14:31:00	28	20180415123000-13	20180415	UK	-1.47058823529412
2018-04-15 14:31:00	28	20180415123000-16	20180415	UK	-3.2051282051282
2018-04-15 14:31:00	25	20180415123000-35	20180415	SP	-8.50746268656716
2018-04-15 14:31:00	28	20180415123000-62	20180415	UK	0.592153960029608
2018-04-15 14:31:00	28	20180415123000-63	20180415	UK	0.434782608695652
2018-04-15 14:31:00	22	20180415123000-110	20180415	PO	-4.90463215258856
2018-04-15 14:31:00	28	20180415123000-134	20180415	UK	4.67289719626168
2018-04-15 14:31:00	9	20180415123000-161	20180415	FR	2.04081632653061
2018-04-15 14:31:00	28	20180415123000-191	20180415	UK	1.49532710280374
2018-04-15 14:31:00	9	20180415123000-195	20180415	FR	1.36054421768708
2018-04-15 14:31:00	9	20180415123000-197	20180415	FR	3.51123595505618
2018-04-15 14:31:00	25	20180415123000-205	20180415	SP	-5.47945205479452
2018-04-15 14:31:00	28	20180415123000-217	20180415	UK	-3.2051282051282
2018-04-15 14:31:00	10	20180415123000-235	20180415	GM	-0.444444444444444
2018-04-15 14:31:00	28	20180415123000-240	20180415	UK	-5.80645161290323
2018-04-15 14:31:00	28	20180415123000-282	20180415	UK	2.20385674931129
2018-04-15 14:31:00	28	20180415123000-305	20180415	UK	2.89982425307557
2018-04-15 14:31:00	28	20180415123000-309	20180415	UK	-3.2051282051282
2018-04-15 14:31:00	28	20180415123000-327	20180415	UK	0.434782608695652
2018-04-15 14:31:00	28	20180415123000-371	20180415	UK	-0.278940027894003
2018-04-15 14:31:00	10	20180415123000-390	20180415	GM	-2.17391304347826
2018-04-15 14:31:00	25	20180415123000-399	20180415	SP	0.260416666666667
2018-04-15 14:31:00	28	20180415123000-403	20180415	UK	-0.511945392491467
2018-04-15 14:31:00	28	20180415123000-407	20180415	UK	-0.314465408805032
2018-04-15 14:31:00	5	20180415123000-428	20180415	EI	0
2018-04-15 14:31:00	28	20180415123000-455	20180415	UK	0.434782608695652
2018-04-15 14:31:00	25	20180415123000-456	20180415	SP	-4.26829268292683
2018-04-15 14:31:00	9	20180415123000-475	20180415	FR	-0.72992700729927
2018-04-15 14:31:00	27	20180415123000-489	20180415	SZ	0.53475935828877
2018-04-15 14:31:00	28	20180415123000-503	20180415	UK	2.20385674931129
2018-04-15 14:31:00	28	20180415123000-505	20180415	UK	-3.2051282051282
2018-04-15 14:31:00	28	20180415123000-523	20180415	UK	2.62784090909091
2018-04-15 14:31:00	5	20180415123000-536	20180415	EI	-1.96078431372549
2018-04-15 14:31:00	28	20180415123000-549	20180415	UK	-3.82513661202186
2018-04-15 14:31:00	28	20180415123000-559	20180415	UK	2.11382113821138
2018-04-15 14:31:00	9	20180415123000-586	20180415	FR	-1.32978723404255
2018-04-15 14:31:00	9	20180415123000-593	20180415	FR	-3.00429184549356
2018-04-15 14:31:00	28	20180415123000-618	20180415	UK	0
2018-04-15 14:31:00	5	20180415123000-627	20180415	EI	0.471698113207547
2018-04-15 14:31:00	21	20180415123000-631	20180415	PL	-3.8860103626943
2018-04-15 14:31:00	28	20180415123000-632	20180415	UK	2.07253886010363
2018-04-15 14:31:00	8	20180415123000-636	20180415	FI	-0.427350427350427
2018-04-15 14:31:00	27	20180415123000-647	20180415	SZ	-8.16777041942605
2018-04-15 14:31:00	28	20180415123000-659	20180415	UK	2.20385674931129
2018-04-15 14:31:00	28	20180415123000-690	20180415	UK	2.20385674931129
2018-04-15 14:31:00	25	20180415123000-716	20180415	SP	-6.4
2018-04-15 14:31:00	25	20180415123000-728	20180415	SP	-8.50746268656716
2018-04-15 14:31:00	1	20180415123000-730	20180415	AU	4.71142520612485
2018-04-15 14:31:00	5	20180415123000-744	20180415	EI	4.77453580901857
2018-04-15 14:31:00	28	20180415123000-775	20180415	UK	0.434782608695652
2018-04-15 14:31:00	10	20180415123000-777	20180415	GM	-4.47761194029851
2018-04-15 14:31:00	28	20180415123000-792	20180415	UK	-3.2051282051282
2018-04-15 14:31:00	28	20180415123000-810	20180415	UK	-1.13207547169811
2018-04-15 14:31:00	14	20180415123000-823	20180415	IT	-0.179211469534051
2018-04-15 14:31:00	28	20180415123000-826	20180415	UK	-3.2051282051282
2018-04-15 14:31:00	28	20180415123000-836	20180415	UK	2.20385674931129
2018-04-15 14:31:00	28	20180415123000-849	20180415	UK	-4.2674253200569
2018-04-15 14:31:00	25	20180415123000-859	20180415	SP	-6.10687022900763
2018-04-15 14:31:00	25	20180415123000-861	20180415	SP	-6.94444444444444
2018-04-15 14:31:00	14	20180415123000-879	20180415	IT	2.75482093663912
2018-04-15 14:31:00	28	20180415123000-894	20180415	UK	0.808625336927224
2018-04-15 14:31:00	28	20180415123000-895	20180415	UK	0.810810810810811
2018-04-15 14:31:00	10	20180415123000-900	20180415	GM	-0.987654320987654
2018-04-15 14:31:00	28	20180415123000-935	20180415	UK	-1.3801756587202
2018-04-15 14:31:00	28	20180415123000-938	20180415	UK	-6.80272108843537
2018-04-15 14:31:00	28	20180415123000-939	20180415	UK	-3.05676855895197
2018-04-15 14:31:00	9	20180415123000-970	20180415	FR	-6.97674418604651
2018-04-15 14:31:00	9	20180415123000-990	20180415	FR	-0.280898876404494
2018-04-15 14:31:00	28	20180415123000-1000	20180415	UK	-6.80272108843537
2018-04-15 14:31:00	9	20180415123000-1004	20180415	FR	-3.15258511979823
2018-04-15 14:31:00	15	20180415123000-1060	20180415	LG	-4.33734939759036
2018-04-15 14:31:00	28	20180415123000-1085	20180415	UK	-4.6242774566474
2018-04-15 14:31:00	1	20180415123000-1108	20180415	AU	-1.08108108108108
2018-04-15 14:31:00	10	20180415123000-1134	20180415	GM	1.91570881226054
