dt	peer	globaleventid	sqldate	ActionGeo_CountryCode	AvgTone
2018-03-26 20:50:02	28	20180326044500-1198	20180326	UK	-0.147710487444608
2018-03-26 20:50:02	28	20180326044500-1205	20180326	UK	3.50877192982456
2018-03-26 20:50:02	28	20180326044500-1206	20180326	UK	-7.14285714285714
2018-03-26 20:50:02	28	20180326044500-1221	20180326	UK	0
2018-03-26 20:50:02	28	20180326044500-1222	20180326	UK	-4.66497031382528
2018-03-26 20:50:02	9	20180326044500-1226	20180326	FR	-1.21786197564276
2018-03-26 20:50:02	28	20180326044500-1241	20180326	UK	-0.862068965517241
2018-03-26 20:50:02	28	20180326044500-1257	20180326	UK	0
2018-03-26 20:50:02	28	20180326044500-1270	20180326	UK	-0.869565217391305
2018-03-26 20:50:02	28	20180326044500-1284	20180326	UK	3.10880829015544
2018-03-26 20:50:02	5	20180326044500-1293	20180326	EI	5.04201680672269
2018-03-26 20:50:02	28	20180326044500-1304	20180326	UK	-4.12371134020619
2018-03-26 20:50:03	28	20180326044500-1332	20180326	UK	-1.42630744849445
2018-03-26 20:50:03	27	20180326044500-1338	20180326	SZ	-3.47190497944267
2018-03-26 20:50:03	28	20180326044500-1339	20180326	UK	0
2018-03-26 20:50:03	28	20180326044500-1347	20180326	UK	-5.3475935828877
2018-03-26 20:50:03	28	20180326044500-1352	20180326	UK	-0.709219858156029
2018-03-26 20:50:03	9	20180326044500-1373	20180326	FR	1.63934426229508
2018-03-26 20:50:03	28	20180326044500-1396	20180326	UK	-0.56497175141243
2018-03-26 20:50:03	28	20180326044500-1404	20180326	UK	-1.35440180586907
2018-03-26 20:50:03	2	20180326044500-1453	20180326	BE	3.2
2018-03-26 20:50:03	11	20180326044500-1460	20180326	GR	1.1965811965812
2018-03-26 20:50:03	28	20180326044500-1470	20180326	UK	0
2018-03-26 20:50:03	28	20180326044500-1491	20180326	UK	1.75438596491228
2018-03-26 20:50:03	5	20180326044500-1520	20180326	EI	1.05263157894737
2018-03-26 20:50:03	9	20180326044500-1535	20180326	FR	4.09683426443203
2018-03-26 20:50:03	28	20180326044500-1543	20180326	UK	0.496277915632754
2018-03-26 20:50:03	28	20180326044500-1559	20180326	UK	0.540540540540541
2018-03-26 20:50:03	5	20180326044500-1588	20180326	EI	1.14942528735632
2018-03-26 20:50:03	9	20180326044500-1598	20180326	FR	-2.11480362537764
2018-03-26 20:50:03	5	20180326044500-1601	20180326	EI	-0.832466181061395
2018-03-26 20:50:03	9	20180326044500-1613	20180326	FR	-6.87830687830688
2018-03-26 20:50:03	28	20180326044500-1619	20180326	UK	0
2018-03-26 20:50:03	28	20180326044500-1655	20180326	UK	0
2018-03-26 20:50:03	28	20180326044500-1659	20180326	UK	-0.709219858156029
2018-03-26 20:50:03	17	20180326044500-1660	20180326	LO	-2.45762711864407
