dt	gkgrecordid	sqldate	country	src	url
2018-09-18 09:00:48	20180918070000-0	20180918	RP	humanitariannews.org	http://humanitariannews.org/20180918/philippines-dswd-dromic-report-11on-typhoon-ompong-mangkhut-17-september-2018-4am
2018-09-18 09:00:48	20180918070000-1	20180918	IR	iranoilgas.com	http://www.iranoilgas.com/news/details?id=19433&title=Iran+Economic+Council+agrees+with+developing+2+oilfields+
2018-09-18 09:00:48	20180918070000-2	20180918	NULL	gwdtoday.com	http://gwdtoday.com/main.asp?SectionID=2&SubSectionID=234&TM=9909.747
2018-09-18 09:00:48	20180918070000-3	20180918	NULL	thenewsminute.com	https://www.thenewsminute.com/article/jaya-death-probe-committee-summons-apollo-officials-not-submitting-cctv-footage-88519
2018-09-18 09:00:48	20180918070000-4	20180918	SA	prnewswire.com	https://www.prnewswire.com/news-releases/the-four-seasons-hotel-george-v-in-paris-putting-a-stop-to-food-waste-and-a-kitchen-garden-with-a-virtuous-biosystem-843327452.html
2018-09-18 09:00:48	20180918070000-5	20180918	US	foxbaltimore.com	https://foxbaltimore.com/news/entertainment/glenn-weiss-proposes-to-his-girlfriend-after-winning-an-emmy-on-live-tv
2018-09-18 09:00:48	20180918070000-6	20180918	NULL	eadt.co.uk	http://www.eadt.co.uk/news/ipswich-central-police-arrest-three-males-after-seizing-drugs-and-cash-1-5699620
2018-09-18 09:00:48	20180918070000-7	20180918	CH	politicaldog101.com	https://politicaldog101.com/tag/import-export-fees/
2018-09-18 09:00:48	20180918070000-8	20180918	UK	theguardian.com	https://www.theguardian.com/politics/2018/sep/18/brexit-weekly-briefing-pm-says-its-chequers-plan-or-bust
2018-09-18 09:00:48	20180918070000-9	20180918	NZ	nzcity.co.nz	https://home.nzcity.co.nz/news/article.aspx?id=276410&fm=newsmain%2cnrhl
2018-09-18 09:00:48	20180918070000-10	20180918	AS	nynganobserver.com.au	https://www.nynganobserver.com.au/story/5653368/question-time-in-federal-parliament/?cs=9397
