dt	gkgrecordid	sqldate	country	src	url
2018-09-18 08:45:25	20180918064500-0	20180918	UK	creweguardian.co.uk	http://www.creweguardian.co.uk/news/national/16885255.health-risks-are-minor-concern-for-middle-aged-drinkers-study/
2018-09-18 08:45:25	20180918064500-1	20180918	NULL	salon.com	https://www.salon.com/tv/e/578564/c/3947
2018-09-18 08:45:25	20180918064500-2	20180918	AS	gladstoneobserver.com.au	https://www.gladstoneobserver.com.au/news/ricky-ponting-launches-spirited-defence-of-austral/3524577/
2018-09-18 08:45:25	20180918064500-3	20180918	BG	sfgate.com	https://www.sfgate.com/news/crime/article/Experts-air-new-concerns-about-UN-response-to-13237410.php
2018-09-18 08:45:25	20180918064500-4	20180918	CH	northerndailyleader.com.au	https://www.northerndailyleader.com.au/story/5651955/consumers-will-pay-for-us-tariffs-on-china/?cs=9397
2018-09-18 08:45:25	20180918064500-5	20180918	EI	the42.ie	http://www.the42.ie/chaser/news/
2018-09-18 08:45:25	20180918064500-6	20180918	NULL	northerndailyleader.com.au	https://www.northerndailyleader.com.au/story/5652369/patients-out-of-pocket-while-hospital-calls-for-mri-medicare-licence/
2018-09-18 08:45:25	20180918064500-7	20180918	NULL	iheart.com	https://mix1033.iheart.com/content/2018-09-17-alex-borstein-won-the-2018-emmys-with-this-hilarious-acceptance-speech/
2018-09-18 08:45:25	20180918064500-8	20180918	US	en.tempo.co	http://en.tempo.co/read/news/2018/09/18/114921734/Box-Office-The-Predator-Bites-Off-24-Million-Bow
2018-09-18 08:45:25	20180918064500-9	20180918	AS	moreechampion.com.au	https://www.moreechampion.com.au/story/5644202/morees-finest-progress-to-next-stage-of-regional-achievement-awards/
2018-09-18 08:45:25	20180918064500-10	20180918	US	sputniknews.com	https://sputniknews.com/us/201809181068121144-spacex-moon-tourist/
2018-09-18 08:45:25	20180918064500-11	20180918	RS	foxnews.com	http://www.foxnews.com/world/2018/09/18/russia-says-military-jet-lost-over-mediterranean-may-have-been-inadvertently-shot-down-by-syria.html
2018-09-18 08:45:25	20180918064500-12	20180918	KS	kbs.co.kr	http://world.kbs.co.kr/service/news_view.htm?lang=e&Seq_Code=139429
2018-09-18 08:45:25	20180918064500-13	20180918	KN	goerie.com	http://www.goerie.com/zz/news/20180917/kim-moon-start-possibly-most-challenging-korean-summit-yet
2018-09-18 08:45:25	20180918064500-14	20180918	NULL	gwdtoday.com	http://gwdtoday.com/main.asp?SectionID=2&SubSectionID=276&TM=9010.581
2018-09-18 08:45:25	20180918064500-15	20180918	NULL	iheart.com	https://mix96online.iheart.com/content/2018-09-17-alec-baldwin-confirms-niece-hailey-baldwin-and-justin-bieber-got-married/
2018-09-18 08:45:25	20180918064500-16	20180918	UK	examiner.co.uk	https://www.examiner.co.uk/news/west-yorkshire-fire-service-decide-15164581
2018-09-18 08:45:25	20180918064500-17	20180918	KN	mcdonoughvoice.com	http://www.mcdonoughvoice.com/zz/news/20180917/kim-moon-start-possibly-most-challenging-korean-summit-yet
2018-09-18 08:45:25	20180918064500-18	20180918	MK	ehfcl.com	http://www.ehfcl.com/en/men/News/VxK7j8Z8rsSfras3ez-aQQ/Vardar_goalkeeper_Milosavljev_shines_on_debut
2018-09-18 08:45:25	20180918064500-19	20180918	NULL	politicalcartoons.com	https://politicalcartoons.com/cartoon/jose_neves/215744/giving_brennan_a_voice/
2018-09-18 08:45:25	20180918064500-20	20180918	AS	coffscoastadvocate.com.au	https://www.coffscoastadvocate.com.au/news/kate-parry-lost-40kg-after-being-called-fat-in-the/3524434/
2018-09-18 08:45:25	20180918064500-21	20180918	NULL	einnews.com	https://energy.einnews.com/login?url=%2Farticle__detail%2F462326637-bifacial-solar-panels-solar-trackers-do-they-have-a-future-cleantechnica-exclusive-part-2
2018-09-18 08:45:25	20180918064500-22	20180918	US	kcbd.com	http://www.kcbd.com/2018/09/18/ford-gm-toyota-all-object-reagor-dykes-sale/
