dt	gkgrecordid	sqldate	country	src	url
2018-09-18 11:00:45	20180918090000-0	20180918	KN	hirunews.lk	http://www.hirunews.lk/200164/south-korean-leader-visits-north-korea
2018-09-18 11:00:45	20180918090000-1	20180918	US	journalreview.com	http://www.journalreview.com/lifestyles/entertainment/article_77eba2fd-99fe-59c6-8938-faa6a5d05bb3.html
2018-09-18 11:00:45	20180918090000-2	20180918	US	1340wjrw.com	http://www.1340wjrw.com/news/florence-leaves-monumental-disaster-with-more-trouble-to-come/
2018-09-18 11:00:45	20180918090000-3	20180918	AE	tucson.com	https://tucson.com/news/world/opec-chief-cartel-must-stay-together-as-us-sanctions-iran/article_a41fbba3-76d5-50f3-92cb-7ef8cc933a75.html
2018-09-18 11:00:45	20180918090000-4	20180918	UK	reuters.com	https://in.reuters.com/article/us-jlt-m-a-marsh-mclennan/marsh-mclennan-to-buy-uk-broker-jlt-for-5-7-billion-idINKCN1LY0Q5
2018-09-18 11:00:45	20180918090000-5	20180918	US	reporter.net	http://www.reporter.net/cnhi_network/it-looks-like-they-re-in-jail-tx-students-in/article_d7353443-8016-5467-b60a-f881953d96bb.html
2018-09-18 11:00:45	20180918090000-6	20180918	RS	newstimes.com	https://www.newstimes.com/news/world/article/German-doctors-Pussy-Riot-poisoning-highly-13237545.php
2018-09-18 11:00:45	20180918090000-7	20180918	UK	midulstermail.co.uk	https://www.midulstermail.co.uk/news/sf-politicians-welcome-return-of-school-bus-service-1-8638334
2018-09-18 11:00:45	20180918090000-8	20180918	UK	proactiveinvestors.co.uk	http://www.proactiveinvestors.co.uk/companies/news/205101/union-jack-oil-highlights-period-of-portfolio-expansion-205101.html
2018-09-18 11:00:45	20180918090000-9	20180918	RS	hepburnadvocate.com.au	https://www.hepburnadvocate.com.au/story/5653399/qld-strawberry-body-labels-media-reports-overblown/
2018-09-18 11:00:45	20180918090000-10	20180918	AS	forbesadvocate.com.au	https://www.forbesadvocate.com.au/story/5653926/adani-admits-to-admin-error-on-mine-work/?cs=9397
2018-09-18 11:00:45	20180918090000-11	20180918	NULL	pressandjournal.co.uk	https://www.pressandjournal.co.uk/category/opinion/columnists/michael-foxley/
2018-09-18 11:00:45	20180918090000-12	20180918	NULL	dailyjournal.net	http://www.dailyjournal.net/2018/09/18/gcas_reed_a_natural_in_leadership_role/
2018-09-18 11:00:45	20180918090000-13	20180918	RO	actmedia.eu	https://actmedia.eu/daily/kolinda-grabar-kitarovic-croatia-proposes-11-cooperation-projects/77407
2018-09-18 11:00:45	20180918090000-14	20180918	HK	ejinsight.com	http://www.ejinsight.com/20180918-a-heartwarming-display-of-neighborly-love-in-tseung-kwan-o/
2018-09-18 11:00:45	20180918090000-15	20180918	SA	cagesideseats.com	https://www.cagesideseats.com/wwe/2018/9/18/17873058/wwe-raw-results-recap-reactions-sept-17-2018-baron-corbin-roman-reigns-braun-strowman-crown-jewel
2018-09-18 11:00:45	20180918090000-16	20180918	MK	ehfcl.com	http://www.ehfcl.com/en/men/News/OjFHS3yfkBFUxJ8QLQ_VUA/Vardar_goalkeeper_Milosavljev_shines_on_debut
2018-09-18 11:00:45	20180918090000-17	20180918	US	kmaj1440.com	http://www.kmaj1440.com/news/florence-leaves-monumental-disaster-with-more-trouble-to-come/
2018-09-18 11:00:45	20180918090000-18	20180918	US	pantagraph.com	https://www.pantagraph.com/news/local/public_safety/man-dies-after-being-struck-on-i/article_956f0499-2ec1-501c-a393-17816b2ec8fd.html
2018-09-18 11:00:45	20180918090000-19	20180918	NULL	news-medical.net	https://www.news-medical.net/news/20180918/Outcome-of-ACL-reconstruction-related-to-the-way-you-move-post-surgery.aspx
2018-09-18 11:00:45	20180918090000-20	20180918	US	tuftsdaily.com	https://tuftsdaily.com/arts/2018/09/18/car-seat-headrest-blend-old-and-new-at-the-royale/
2018-09-18 11:00:45	20180918090000-21	20180918	US	dailypolitical.com	https://www.dailypolitical.com/2018/09/18/bbt-securities-llc-sells-125151-shares-of-robert-half-international-inc-rhi.html
2018-09-18 11:00:45	20180918090000-22	20180918	UK	midsussextimes.co.uk	https://www.midsussextimes.co.uk/whats-on/music/review-frances-kelly-at-funtington-music-group-1-8638278
2018-09-18 11:00:45	20180918090000-23	20180918	CH	fxempire.com	https://www.fxempire.com/news/article/markets-reversed-to-growth-despite-new-tariffs-on-china-import-527644
2018-09-18 11:00:45	20180918090000-24	20180918	RS	messengernewspapers.co.uk	https://www.messengernewspapers.co.uk/news/national/16885465.pussy-riot-members-poisoning-claims-highly-plausible-doctors-say/
2018-09-18 11:00:45	20180918090000-25	20180918	NULL	bold.dk	https://www.bold.dk/snak/index.php?action=thread&id=5172499&start=0
2018-09-18 11:00:45	20180918090000-26	20180918	NULL	deccanchronicle.com	https://www.deccanchronicle.com/technology/gadgets/180918/fd-introduces-its-bluetooth-headphones-hw111.html
2018-09-18 11:00:45	20180918090000-27	20180918	US	theprogressnews.com	http://www.theprogressnews.com/news/nation/she-s-bringing-ballet-to-the-streets-of-new-york/youtube_d2e1a15b-abd9-5f57-82fa-7cfb71467833.html
2018-09-18 11:00:45	20180918090000-28	20180918	RW	sierraleonetimes.com	https://www.sierraleonetimes.com/news/258006934/africa-youth-population-poverty-spurs-gates-foundation-giving
2018-09-18 11:00:45	20180918090000-29	20180918	US	kpax.com	https://kpax.com/cnn-entertainment/2018/09/18/emmys-overdose-on-snl-as-game-of-thrones-breaks-up-streaming-party/
2018-09-18 11:00:45	20180918090000-30	20180918	SW	rttnews.com	http://www.rttnews.com/2935765/sweden-jobless-rate-at-10-month-high.aspx
2018-09-18 11:00:45	20180918090000-31	20180918	US	sfgate.com	https://www.sfgate.com/weather/article/TX-San-Angelo-TX-Zone-Forecast-13237557.php
2018-09-18 11:00:45	20180918090000-32	20180918	NULL	yakimaherald.com	http://www.yakimaherald.com/news/local/have-a-doughnut-wednesday-with-yakima-county-sheriff-s-deputy/article_b3019418-bb08-11e8-b4b5-8f26d6da66ea.html
2018-09-18 11:00:45	20180918090000-33	20180918	NULL	animalforum.com	http://www.animalforum.com/list.php/author/14109-ilyassboumedhal?s=993575ee66e3d7bbe497e3248dc51168
2018-09-18 11:00:45	20180918090000-34	20180918	NULL	pamplinmedia.com	https://pamplinmedia.com/pt/9-news/406429-304297-city-hall-update-old-town-to-get-next-affordable-housing-bond-project-
2018-09-18 11:00:45	20180918090000-35	20180918	US	newsminer.com	http://www.newsminer.com/opinion/letters_to_editor/alaska-republicans-must-demand-trump-s-resignation/article_03d73002-bb0c-11e8-a137-0f0eb6a207f7.html
2018-09-18 11:00:45	20180918090000-36	20180918	NULL	grandrapidsmn.com	http://www.grandrapidsmn.com/online_features/health_and_wellness/quick-tips-to-beat-smelly-feet/article_c131344e-fdfd-5da5-bcd1-8b4d9659982d.html
2018-09-18 11:00:45	20180918090000-37	20180918	CM	nownews.com	https://chinapost.nownews.com/20180918-422386
2018-09-18 11:00:45	20180918090000-38	20180918	UK	goodtoknow.co.uk	https://www.goodtoknow.co.uk/family/dementia-weds-childhood-sweetheart-441639
2018-09-18 11:00:45	20180918090000-39	20180918	NULL	globegazette.com	https://globegazette.com/ads/sale/furniture/the-first-touch-of-fall-we-have-it-all-to/ad_6b126214-5ae5-11e8-8a58-23637cbe8e6a.html
2018-09-18 11:00:45	20180918090000-40	20180918	TH	iol.co.za	https://www.iol.co.za/lifestyle/food-drink/virtual-tasting-with-steenberg-wines-17105862
2018-09-18 11:00:45	20180918090000-41	20180918	FI	afr.com	https://www.afr.com/brand/chanticleer/the-highs-and-lows-of-retail-investing-20180917-h15io8
2018-09-18 11:00:45	20180918090000-42	20180918	NULL	skift.com	https://skift.com/2018/09/18/accorhotels-expects-voice-search-to-be-revolutionary-for-travel/
2018-09-18 11:00:45	20180918090000-43	20180918	NULL	rigzone.com	https://www.rigzone.com/a-assistant-maintenance-jobs/
2018-09-18 11:00:45	20180918090000-44	20180918	RS	independent.ie	https://www.independent.ie/world-news/russia-says-syrian-missile-brought-down-military-aircraft-37328124.html
2018-09-18 11:00:45	20180918090000-45	20180918	IS	english.wafa.ps	http://english.wafa.ps/page.aspx?id=OVCMcma101074265094aOVCMcm
2018-09-18 11:00:45	20180918090000-46	20180918	US	wtka.com	http://www.wtka.com/news/joe-biden-reacts-to-kavanaugh-allegation-reviving-memories-of-anita-hill-hearing/
2018-09-18 11:00:45	20180918090000-47	20180918	WE	english.wafa.ps	http://english.wafa.ps/page.aspx?id=OVCMcma101072361588aOVCMcm
2018-09-18 11:00:45	20180918090000-48	20180918	IN	sify.com	http://www.sify.com/finance/global-cues-weak-rupee-subdue-equity-indices-over-1-news-sensex-sjrtULfbiaihd.html
2018-09-18 11:00:45	20180918090000-49	20180918	IS	english.wafa.ps	http://english.wafa.ps/page.aspx?id=9CObqka101061892305a9CObqk
2018-09-18 11:00:45	20180918090000-50	20180918	NULL	pamplinmedia.com	https://pamplinmedia.com/pt/9-news/406415-304825-back-to-the-future
2018-09-18 11:00:45	20180918090000-51	20180918	IS	rapidtvnews.com	https://www.rapidtvnews.com/2018091853528/ibc-2018-israel-s-hot-opts-for-interra-monitoring.html
2018-09-18 11:00:45	20180918090000-52	20180918	UK	goodtoknow.co.uk	https://www.goodtoknow.co.uk/family/benedict-cumberbatch-sophie-hunter-baby-number-three-443983
2018-09-18 11:00:45	20180918090000-53	20180918	IN	hindustantimes.com	https://www.hindustantimes.com/tech/motorola-one-power-launch-date-in-india-announced-specifications-features-and-more/story-ytbQtrJavB2QdpFGWpm1pI.html
2018-09-18 11:00:45	20180918090000-54	20180918	GQ	guampdn.com	https://www.guampdn.com/story/life/2018/09/18/korean-festival-planned-sept-22-tumon/1342152002/
2018-09-18 11:00:45	20180918090000-55	20180918	US	timesdaily.com	https://www.timesdaily.com/news/local/reality-tv-show-focuses-on-fastest-cars-in-the-dirty/article_a003dbfa-26e5-5591-800f-4332e1ef5569.html
2018-09-18 11:00:45	20180918090000-56	20180918	AS	lithgowmercury.com.au	https://www.lithgowmercury.com.au/story/5651329/showcasing-talents-of-public-schools-students-tickets-on-sale/
2018-09-18 11:00:45	20180918090000-57	20180918	NULL	shropshirestar.com	https://www.shropshirestar.com/news/local-hubs/oswestry/2018/09/18/life-saver-vandalised/
2018-09-18 11:00:45	20180918090000-58	20180918	UK	euroinvestor.com	https://www.euroinvestor.com/news/2018/09/18/net-asset-values/13894929
2018-09-18 11:00:45	20180918090000-59	20180918	NULL	inquirer.net	https://entertainment.inquirer.net/294077/bela-padilla-denies-dating-jm-de-guzman-reveals-talks-of-film-together
2018-09-18 11:00:45	20180918090000-60	20180918	US	mdjonline.com	https://www.mdjonline.com/entertainment/game-of-thrones-mrs-maisel-triumph-at-emmys/article_dab1a82a-978c-5be8-99fc-2989eef63641.html
2018-09-18 11:00:45	20180918090000-61	20180918	PL	filmneweurope.com	http://www.filmneweurope.com/news/poland-news/item/116979-fne-at-gdynia-film-festival-2018-pardon
2018-09-18 11:00:45	20180918090000-62	20180918	UK	pressandjournal.co.uk	https://www.pressandjournal.co.uk/business/uk-and-abroad/1565355/job-cuts-loom-as-marsh-mclennan-strikes-4-3bn-deal-for-jardine-lloyd-thompson/
2018-09-18 11:00:45	20180918090000-63	20180918	NULL	96kzel.com	http://www.96kzel.com/news/betty-whites-emmy-appearance-was-pure-joy/
2018-09-18 11:00:45	20180918090000-64	20180918	JA	northcoastjournal.com	https://www.northcoastjournal.com/humboldt/david-schumaker-artwork/Event?oid=11015233
2018-09-18 11:00:45	20180918090000-65	20180918	IN	ndtv.com	https://www.ndtv.com/india-news/how-chandrashekhar-ravan-could-impact-mayawati-and-bjp-for-2019-1918165
2018-09-18 11:00:45	20180918090000-66	20180918	CH	cbbc.org	http://www.cbbc.org/events/2018/september/the-20th-china-international-industry-fair-(shangh/
