dt	gkgrecordid	sqldate	country	src	url
2018-09-18 12:45:19	20180918104500-0	20180918	IN	timesnownews.com	https://www.timesnownews.com/technology-science/article/isro-likely-to-launch-chandrayaan-2-on-january-3/286413
2018-09-18 12:45:19	20180918104500-1	20180918	TH	the-afc.com	http://www.the-afc.com/competitions/afc-u-20-futsal-championship/latest/news/uzbekistan-drawn-into-group-b
2018-09-18 12:45:19	20180918104500-2	20180918	CH	hellenicshippingnews.com	https://www.hellenicshippingnews.com/trump-announces-new-tariffs-on-chinese-imports/
2018-09-18 12:45:19	20180918104500-3	20180918	RS	1045thefox.com	https://www.1045thefox.com/news/national/syria-accidentally-shot-down-a-russian-military-plane
2018-09-18 12:45:19	20180918104500-4	20180918	UK	birminghammail.co.uk	https://www.birminghammail.co.uk/news/uk-news/ryanair-ibiza-flight-forced-u-15165744
2018-09-18 12:45:19	20180918104500-5	20180918	NULL	kjrh.com	https://www.kjrh.com/news/local-news/tulsa-celebrates-918-day-with-special-discounts-across-the-city
2018-09-18 12:45:19	20180918104500-6	20180918	NULL	bunburymail.com.au	https://www.bunburymail.com.au/story/5653643/emmy-winner-proposes-to-girlfriend-live/?cs=12208
2018-09-18 12:45:19	20180918104500-7	20180918	UK	aol.co.uk	https://www.aol.co.uk/news/2018/09/18/remember-carilliona-s-collapse-could-this-neil-woodford-owned/
2018-09-18 12:45:19	20180918104500-8	20180918	GG	georgiatoday.ge	http://georgiatoday.ge/news/12331/More-than-Half-of-Checked-Georgians-Failed-Drug-Test-
2018-09-18 12:45:19	20180918104500-9	20180918	AS	heraldsun.com.au	https://www.heraldsun.com.au/news/national/strawberry-contamination-scare-spreads-to-six-states/news-story/d73917532caa75e68eafdd874cec7694?nk=2cd29242b1996a54abee78703decdf17-1537266733
2018-09-18 12:45:19	20180918104500-10	20180918	NULL	nampa.org	http://www.nampa.org/index.php?model=categories&function=display&id=18296284
2018-09-18 12:45:19	20180918104500-11	20180918	MT	timesofmalta.com	https://www.timesofmalta.com/articles/view/20180918/timestalk/watch-opposition-hyperbole-is-hurting-maltas-reputation-edward.689392
2018-09-18 12:45:19	20180918104500-12	20180918	CA	stratfordbeaconherald.com	https://www.stratfordbeaconherald.com/news/national/three-people-plead-guilty-to-unlawful-confinement-in-naked-kidnapping-case/wcm/c8d4e22c-8d66-47e4-9297-0aba1b7e8a56
2018-09-18 12:45:19	20180918104500-13	20180918	HR	ehfcl.com	http://www.ehfcl.com/en/men/News/LxU_Peln2mUGAM7RHeLJ1A/Unhappy_2017_18_finalists_make_for_quality_post-game_quotes
2018-09-18 12:45:19	20180918104500-14	20180918	NULL	concierto965.com	http://www.concierto965.com/mp3/thunderclouds-feat-sia-diplo-labrinth-lsd.html
2018-09-18 12:45:19	20180918104500-15	20180918	AE	khaleejtimes.com	https://www.khaleejtimes.com/news/general/popular-dubai-attraction-closed-for-5-days
2018-09-18 12:45:19	20180918104500-16	20180918	NULL	webfg.com	https://uk.webfg.com/news/aim-bulletin/augean-takes-out-the-trash-as-profit-increases-by-a-third--3491436.html
2018-09-18 12:45:19	20180918104500-17	20180918	UK	halsteadgazette.co.uk	http://www.halsteadgazette.co.uk/news/national/16885666.warnings-of-flying-debris-as-storm-ali-brings-winds-of-up-to-80mph/
2018-09-18 12:45:19	20180918104500-18	20180918	US	liveinsurancenews.com	http://www.liveinsurancenews.com/tag/hurricane-florence-insurance/
2018-09-18 12:45:19	20180918104500-19	20180918	UK	express.co.uk	https://www.express.co.uk/news/uk/1019132/Brexit-news-update-Italy-UK-deal-European-Union-Fabio-Castaldo-MEP
2018-09-18 12:45:19	20180918104500-20	20180918	US	ahwatukee.com	http://www.ahwatukee.com/news/article_dbac625e-b6b1-11e8-b052-0b6911c63603.html
2018-09-18 12:45:19	20180918104500-21	20180918	RS	moonofalabama.org	http://www.moonofalabama.org/2018/09/syria-israel-provocation-kills-russian-soldiers-russia-will-take-political-revenge.html
2018-09-18 12:45:19	20180918104500-22	20180918	NULL	concierto965.com	http://www.concierto965.com/latest/crazy-rich-asians-soundtrack-soundixx.html
2018-09-18 12:45:19	20180918104500-23	20180918	US	missourinet.com	https://www.missourinet.com/2018/09/18/missouri-education-department-to-request-140-million-state-funding-boost/
2018-09-18 12:45:19	20180918104500-24	20180918	NULL	chroniclejournal.com	http://www.chroniclejournal.com/online_features/health_and_wellness/keeping-your-baby-safe-while-sleeping/article_31cf9df8-75a1-5759-9319-b8f0d727997f.html
2018-09-18 12:45:19	20180918104500-25	20180918	US	islandpacket.com	https://www.islandpacket.com/entertainment/celebrities/article218586945.html
2018-09-18 12:45:19	20180918104500-26	20180918	US	fox13memphis.com	https://www.fox13memphis.com/news/tennessee/faith-hill-to-keynote-reception-at-tennessee-gov-conference/836664942
2018-09-18 12:45:19	20180918104500-27	20180918	US	herald-citizen.com	http://www.herald-citizen.com/stories/james-eldon-stout,30155
2018-09-18 12:45:19	20180918104500-28	20180918	US	999thefoxrocks.com	http://www.999thefoxrocks.com/news/florence-expected-to-bring-heavy-rain-to-the-northeast-before-moving-offshore/
2018-09-18 12:45:19	20180918104500-29	20180918	US	staradvertiser.com	http://www.staradvertiser.com/2018/09/18/hawaii-news/officials-debate-impact-of-court-opinion-on-city-homeless-laws/
2018-09-18 12:45:19	20180918104500-30	20180918	NULL	nme.com	https://www.nme.com/news/music/bargain-hunt-special-had-to-be-re-shot-after-happy-mondays-broke-the-rules-2380598
2018-09-18 12:45:19	20180918104500-31	20180918	IN	firstpost.com	https://www.firstpost.com/india/bombay-high-court-orders-total-freeze-on-construction-on-mangroves-orders-state-to-protect-privately-owned-land-5206671.html
2018-09-18 12:45:19	20180918104500-32	20180918	NULL	concierto965.com	http://www.concierto965.com/play/dance-tonight-feat-jflow-asian-games-2018-official-song-bunga-citra-lestari.html
2018-09-18 12:45:19	20180918104500-33	20180918	CH	agweb.com	https://www.agweb.com/blog/the-allendale-wake-up-call/us-china-trade-tensions-continue-to-weigh-on-markets/
2018-09-18 12:45:19	20180918104500-34	20180918	UK	houseandgarden.co.uk	https://www.houseandgarden.co.uk/article/meghan-grenfell-kitchen-cookbook
2018-09-18 12:45:19	20180918104500-35	20180918	US	goss.ie	http://goss.ie/featured/ariana-grande-misses-emmys-to-take-time-to-heal-151604
2018-09-18 12:45:19	20180918104500-36	20180918	US	whattheythink.com	http://whattheythink.com/news/91678-yerecic-label-invests-latest-digital-print-technology/
2018-09-18 12:45:19	20180918104500-37	20180918	US	myeasternshoremd.com	https://www.myeasternshoremd.com/qa/community/news/american-legion-auxiliary-raising-funds-for-wreaths/article_97fcd4c1-acf4-5cd9-8a49-1921d0fc787c.html
2018-09-18 12:45:19	20180918104500-38	20180918	US	westhawaiitoday.com	http://www.westhawaiitoday.com/2018/09/18/hawaii-news/ocean-view-man-sentenced-to-prison-for-domestic-attack/
2018-09-18 12:45:19	20180918104500-39	20180918	EI	benzinga.com	https://www.benzinga.com/pressreleases/18/09/g12367963/global-artificial-lift-market-2013-2017-2018-2023
2018-09-18 12:45:19	20180918104500-40	20180918	US	gwdtoday.com	http://gwdtoday.com/main.asp?SectionID=2&SubSectionID=293&TM=23428.79
2018-09-18 12:45:19	20180918104500-41	20180918	IN	thehansindia.com	http://www.thehansindia.com/posts/index/National/2018-09-18/Kerala-Nun-rape-case-Bishop-Franco-files-anticipatory-bail-plea-in-HC-to-be-heard-on-Sept-25/412580
2018-09-18 12:45:19	20180918104500-42	20180918	KN	ktts.com	https://www.ktts.com/news/national/kim-jong-un-hugs-moon-jae-in-as-inter-korean-summit-starts
2018-09-18 12:45:19	20180918104500-43	20180918	CH	timesnownews.com	https://www.timesnownews.com/business-economy/world-news/article/china-vows-to-retaliate-after-trump-announced-new-tariffs-on-chinese-imports/286402
2018-09-18 12:45:19	20180918104500-44	20180918	US	tampabay.com	https://www.tampabay.com/florida-politics/buzz/2018/09/18/adam-putnam-hired-a-donors-27-year-old-son-to-a-91000-job-theres-a-publix-connection/
2018-09-18 12:45:19	20180918104500-45	20180918	NULL	insidepulse.com	https://insidepulse.com/2018/09/18/carter-season-2-spoilers-will-the-jerry-oconnell-sydney-poitier-heartsong-fronted-series-make-it-past-season-1/
2018-09-18 12:45:19	20180918104500-46	20180918	NULL	bostonherald.com	http://www.bostonherald.com/news/local_coverage/2018/09/revere_blaze_displaces_100_complex_may_be_a_total_loss
2018-09-18 12:45:19	20180918104500-47	20180918	NULL	cbc.ca	https://www.cbc.ca/news/canada/new-brunswick/kris-austin-people-s-alliance-nb-election-platform-1.4826438
2018-09-18 12:45:19	20180918104500-48	20180918	NULL	dazeddigital.com	http://www.dazeddigital.com/film-tv/article/41406/1/here-s-more-previews-from-the-chilling-adventures-of-sabrina
