dt	gkgrecordid	sqldate	country	src	url
2018-09-18 08:15:37	20180918061500-0	20180918	US	newsnation.in	http://www.newsnation.in/entertainment/hollywood-news/-emmys-2018-glenn-weiss-proposes-girlfriend-jan-svendsen-in-emmys-acceptance-speech-article-203124.html
2018-09-18 08:15:37	20180918061500-1	20180918	JO	timesrepublican.com	http://www.timesrepublican.com/news/daily-record/2018/09/daily-record-sept-18-2018/
2018-09-18 08:15:37	20180918061500-2	20180918	US	dailyorange.com	http://dailyorange.com/2018/09/beat-writers-say-sus-latest-win/
2018-09-18 08:15:37	20180918061500-3	20180918	US	fox30jax.com	https://www.fox30jax.com/news/trump-praises-kavanaugh-says-everyone-will-be-heard-out/836575453
2018-09-18 08:15:37	20180918061500-4	20180918	US	wataugademocrat.com	https://www.wataugademocrat.com/ap/wilmington-isle-food-water-handouts-set-in-isolated-city/article_b2413fc2-1a0a-5e6f-85a9-d47985bfc2f9.html
2018-09-18 08:15:37	20180918061500-5	20180918	IN	azosensors.com	https://www.azosensors.com/news.aspx?newsID=12584
2018-09-18 08:15:37	20180918061500-6	20180918	US	myarklamiss.com	https://www.myarklamiss.com/news/showdown-between-kavanaugh-accuser-scheduled-for-next-week/1455913631
2018-09-18 08:15:37	20180918061500-7	20180918	NULL	iheart.com	https://z1077.iheart.com/featured/ryan-seacrest/content/2018-09-17-alec-baldwin-confirms-niece-hailey-baldwin-and-justin-bieber-got-married/
2018-09-18 08:15:37	20180918061500-8	20180918	AS	smh.com.au	https://www.smh.com.au/national/victoria/never-be-forgiven-court-hears-of-sisters-pain-over-airbnb-killing-20180918-p504i7.html
2018-09-18 08:15:37	20180918061500-9	20180918	KN	beauregarddailynews.net	http://www.beauregarddailynews.net/zz/news/20180917/kim-moon-start-possibly-most-challenging-korean-summit-yet
2018-09-18 08:15:37	20180918061500-10	20180918	NULL	thepunchbowl.net	https://thepunchbowl.net/2018/09/17/lets-get-lunch/
2018-09-18 08:15:37	20180918061500-11	20180918	US	benzinga.com	https://www.benzinga.com/pressreleases/18/09/r12367138/constellation-real-estate-groups-real-estate-digital-red-named-in-real
