dt	gkgrecordid	sqldate	country	src	url
2018-09-18 11:45:52	20180918094500-0	20180918	WE	english.wafa.ps	http://english.wafa.ps/page.aspx?id=2GTHkqa101066651070a2GTHkq
2018-09-18 11:45:52	20180918094500-1	20180918	IS	english.wafa.ps	http://english.wafa.ps/page.aspx?id=2GTHkqa101065699317a2GTHkq
2018-09-18 11:45:52	20180918094500-2	20180918	NULL	siouxcityjournal.com	https://siouxcityjournal.com/ads/other/ad_vault/expect-more-at-lukens/pdfdisplayad_5637378b-e33a-5183-bfe6-af5fd834503a.html
2018-09-18 11:45:52	20180918094500-3	20180918	UK	bbc.co.uk	https://www.bbc.co.uk/news/uk-england-nottinghamshire-45558704
2018-09-18 11:45:52	20180918094500-4	20180918	RS	ocala.com	http://www.ocala.com/news/20180918/ihmc-speaker-series-announced
2018-09-18 11:45:52	20180918094500-5	20180918	PL	independent.com.mt	http://www.independent.com.mt/articles/2018-09-18/business-news/The-Concept-Stadium-boosts-web-design-and-development-studio-6736196493
2018-09-18 11:45:52	20180918094500-6	20180918	FR	digitaljournal.com	http://www.digitaljournal.com/news/world/french-interior-minister-to-quit-in-further-blow-to-macron/article/532311
2018-09-18 11:45:52	20180918094500-7	20180918	SW	traveldailynews.com	https://www.traveldailynews.com/post/sharjah-to-bring-family-focused-destinations-cultural-tourism-offerings-to-stockholm-oslo-copenhagen
2018-09-18 11:45:52	20180918094500-8	20180918	JA	wkow.com	https://wkow.com/news/national-news-from-the-associated-press/2018/09/17/latest-japanese-man-to-be-1st-private-moon-flight-passenger/
2018-09-18 11:45:52	20180918094500-9	20180918	NULL	burnleyexpress.net	https://www.burnleyexpress.net/news/education/enter-your-junior-school-choir-for-the-last-choir-singing-competition-1-9354122
2018-09-18 11:45:52	20180918094500-10	20180918	US	denofgeek.com	http://www.denofgeek.com/uk/movies/60536/bryan-singer-in-talks-to-direct-red-sonja
2018-09-18 11:45:52	20180918094500-11	20180918	SI	ehfcl.com	http://www.ehfcl.com/en/men/News/iPb0b_fE0mAoBpJEGvMzGQ/Plock_cruise_to_victory_in_first_Group_D_outing
2018-09-18 11:45:52	20180918094500-12	20180918	IN	timesnownews.com	https://www.timesnownews.com/entertainment/telly-talk/gossip/article/good-news-yeh-rishta-kya-kehlata-hai-actress-parul-chauhan-is-getting-married-to-her-best-friend-in-december-tv-news/286378
2018-09-18 11:45:52	20180918094500-13	20180918	US	tweeddailynews.com.au	https://www.tweeddailynews.com.au/news/why-game-of-thrones-didnt-deserve-to-win-emmy/3524483/
2018-09-18 11:45:52	20180918094500-14	20180918	US	temple-news.com	https://temple-news.com/russo-starts-in-first-win/
2018-09-18 11:45:52	20180918094500-15	20180918	IN	timesnownews.com	https://www.timesnownews.com/business-economy/companies/article/oyo-cure-fit-among-most-sought-after-start-ups-in-india-linkedin/286327
