dt	gkgrecordid	sqldate	country	src	url
2018-09-18 10:45:24	20180918084500-0	20180918	US	kesn1033.com	http://www.kesn1033.com/news/mcdermott-bills-moving-on-without-davis/
2018-09-18 10:45:24	20180918084500-1	20180918	US	jungleredwriters.com	http://www.jungleredwriters.com/2018/09/bow-wow-mystery-dogs.html
2018-09-18 10:45:24	20180918084500-2	20180918	US	clevelandjewishnews.com	https://www.clevelandjewishnews.com/jta/wisconsin-man-charged-with-mailing-threats-to-local-jcc/article_d07b93b2-c85e-5bad-ab38-d0d89f6590d3.html
2018-09-18 10:45:24	20180918084500-3	20180918	SY	ynetnews.com	https://www.ynetnews.com/articles/0,7340,L-5353571,00.html
2018-09-18 10:45:24	20180918084500-4	20180918	SF	brandsouthafrica.com	https://www.brandsouthafrica.com/investments-immigration/business/trends/empowerment/business-engage-honours-corporates-for-women-empowerment
2018-09-18 10:45:24	20180918084500-5	20180918	US	pressenterpriseonline.com	https://www.pressenterpriseonline.com/daily/091818/page/5/story/two-accused-of-walmart-thefts
2018-09-18 10:45:24	20180918084500-6	20180918	EI	somersetcountygazette.co.uk	https://www.somersetcountygazette.co.uk/news/national/16884405.artist-kevin-sharkey-withdraws-from-race-to-be-irelands-next-president/
2018-09-18 10:45:24	20180918084500-7	20180918	US	pressenterpriseonline.com	https://www.pressenterpriseonline.com/daily/091818/page/5/story/have-a-plan-in-place-if-taking-a-personal-loan
2018-09-18 10:45:24	20180918084500-8	20180918	NULL	powerlineblog.com	https://www.powerlineblog.com/archives/2018/09/a-note-on-the-lingering-merrick-garland-canard.php
2018-09-18 10:45:24	20180918084500-9	20180918	US	pressenterpriseonline.com	https://www.pressenterpriseonline.com/daily/091818/page/2/story/happy-birthday
2018-09-18 10:45:24	20180918084500-10	20180918	RS	stripes.com	https://www.stripes.com/news/europe/russia-says-military-aircraft-carrying-14-lost-over-the-mediterranean-1.547998
2018-09-18 10:45:24	20180918084500-11	20180918	US	v100fm.com	http://www.v100fm.com/news/emmy-awards-honor-a-mix-of-new-shows-and-familiar-favorites/
2018-09-18 10:45:24	20180918084500-12	20180918	RS	muswellbrookchronicle.com.au	https://www.muswellbrookchronicle.com.au/story/5651434/strawberry-scare-leads-to-new-export-rules/
2018-09-18 10:45:24	20180918084500-13	20180918	CH	eng.belta.by	http://eng.belta.by/society/view/minsk-to-host-belt-and-road-of-hubei-province-exhibition-on-24-september-114856-2018/
2018-09-18 10:45:24	20180918084500-14	20180918	NULL	warontherocks.com	https://warontherocks.com/author/christian-ruhl/
2018-09-18 10:45:24	20180918084500-15	20180918	SP	delrionewsherald.com	http://delrionewsherald.com/news/article_177ed3a4-bad4-11e8-862c-1b5690e09c77.html
2018-09-18 10:45:24	20180918084500-16	20180918	PK	geo.tv	https://www.geo.tv/latest/211547-na-session-to-present-mini-budget-under-way
2018-09-18 10:45:24	20180918084500-17	20180918	UK	darlingtonandstocktontimes.co.uk	https://www.darlingtonandstocktontimes.co.uk/news/16884591.north-yorkshire-police-commissioner-faces-complaints-over-conduct/
