dt	gkgrecordid	sqldate	country	src	url
2018-09-18 12:30:57	20180918103000-0	20180918	IN	kaumudi.com	http://www.kaumudi.com/innerpage1.php?newsid=112985
2018-09-18 12:30:57	20180918103000-1	20180918	US	kbur.com	http://www.kbur.com/2018/09/18/minnesota-vikings-cut-rookie-kicker-daniel-carlson-after-3-missed-field-goals-in-game-against-packers/
2018-09-18 12:30:57	20180918103000-2	20180918	AS	narrominenewsonline.com.au	https://www.narrominenewsonline.com.au/story/5653680/police-arrest-17-year-old-after-assaulting-female-police-officer/?cs=1490
2018-09-18 12:30:57	20180918103000-3	20180918	SI	seenews.com	https://seenews.com/news/slovenian-banks-7-mo-net-profit-rises-191-626992
2018-09-18 12:30:57	20180918103000-4	20180918	CA	financialcontent.com	http://markets.financialcontent.com/stocks/news/read?GUID=36957610
2018-09-18 12:30:57	20180918103000-5	20180918	AG	aps.dz	http://www.aps.dz/en/regions/25710-mostaganem-over-50-exhibitors-at-mosta-expo-from-25-to-27-september
2018-09-18 12:30:57	20180918103000-6	20180918	SY	accesswdun.com	http://accesswdun.com/article/2018/9/714615
2018-09-18 12:30:57	20180918103000-7	20180918	US	apparelnews.net	http://www.apparelnews.net/events/2018/sep/18/london-fashion-week-92cec778/?et=12390
2018-09-18 12:30:57	20180918103000-8	20180918	CA	comunicati.net	http://www.comunicati.net/comunicati/aziende/varie/492173.html
2018-09-18 12:30:57	20180918103000-9	20180918	BR	thisismoney.co.uk	https://www.thisismoney.co.uk/money/markets/article-6177311/Sirius-Minerals-signs-biggest-sales-deal-far-Brazilian-distributor.html
2018-09-18 12:30:57	20180918103000-10	20180918	UK	finanznachrichten.de	https://www.finanznachrichten.de/nachrichten-2018-09/44798056-allied-wallet-partners-with-cashdash-for-cardless-atm-withdrawals-004.htm
2018-09-18 12:30:57	20180918103000-11	20180918	UK	dailypost.co.uk	https://www.dailypost.co.uk/news/weather-warning-lifted-today-gusts-15165545
2018-09-18 12:30:57	20180918103000-12	20180918	RS	charlotteobserver.com	https://www.charlotteobserver.com/news/article218586530.html
2018-09-18 12:30:57	20180918103000-13	20180918	KN	spacewar.com	http://www.spacewar.com/afp/180918080513.53vuir3w.html
2018-09-18 12:30:57	20180918103000-14	20180918	EI	irishexaminer.com	https://www.irishexaminer.com/breakingnews/ireland/irish-consumers-complained-most-about-buying-cars-from-uk-869752.html
2018-09-18 12:30:57	20180918103000-15	20180918	IT	econintersect.com	http://econintersect.com/pages/investing/investing.php?post=201809180143
2018-09-18 12:30:57	20180918103000-16	20180918	NULL	indiatimes.com	https://timesofindia.indiatimes.com/entertainment/hindi/music/news/anup-jalota-lesser-known-facts-about-the-bhajan-samrat/photostory/65855861.cms
2018-09-18 12:30:57	20180918103000-17	20180918	AS	wollondillyadvertiser.com.au	https://www.wollondillyadvertiser.com.au/story/5653857/wa-reward-to-catch-strawberry-saboteurs/
2018-09-18 12:30:57	20180918103000-18	20180918	UK	urbanrealm.com	https://www.urbanrealm.com/news/7661/Courtyard_bungalows_pay_homage_to_former_Aberfeldy_laundry.html
